Time [s],Strain,Stress [MPa],Displacement [nm],Load [mN]
15.9,0.013431473,152.2146352,76.55939459,0.897526785
15.95,0.013496011,152.9807,76.92726092,0.902043852
16,0.013502142,153.1761953,76.96220722,0.903196581
16.05,0.013532944,153.2615842,77.13777843,0.903700073
16.1,0.013535679,154.0386945,77.15337189,0.908282269
16.15,0.013576358,154.7679215,77.38524026,0.912582124
16.2,0.013544297,154.032453,77.20249522,0.908245466
16.25,0.013649724,157.9133381,77.80342576,0.931128932
16.3,0.013755589,157.6385845,78.4068598,0.929508859
16.35,0.013854414,165.0522566,78.97016142,0.973223245
16.4,0.013919917,167.8475017,79.34352907,0.989705283
16.45,0.013986405,166.2519546,79.7225087,0.980297211
16.5,0.014024637,167.178664,79.94043306,0.985761511
16.55,0.014081261,166.6317059,80.26318658,0.982536397
16.6,0.013937287,167.5582991,79.44253357,0.988000013
16.65,0.014048558,167.7851483,80.07678245,0.989337619
16.7,0.01400633,166.6826581,79.83607877,0.982836835
16.75,0.013960966,166.1546906,79.57750381,0.979723698
16.8,0.013895827,167.5230662,79.20621162,0.987792264
16.85,0.014137523,172.3129016,80.5838839,1.016035314
16.9,0.01410869,160.1069208,80.41953385,0.944063294
16.95,0.014101149,160.5413871,80.37655057,0.946625105
17,0.014144969,162.614177,80.62632229,0.958847218
17.05,0.01433659,165.3782039,81.71856083,0.975145179
17.1,0.014461756,167.3567192,82.43201094,0.986811406
17.15,0.014495219,167.3495,82.62274723,0.986768838
17.2,0.014455909,167.7007954,82.39867926,0.988840236
17.25,0.014547624,166.9274621,82.92145567,0.98428031
17.3,0.01454174,165.9525962,82.88792074,0.978532058
17.35,0.01442301,170.1916278,82.21115952,1.003527318
17.4,0.014632917,170.3988082,83.40762866,1.004748947
17.45,0.014521408,170.0979522,82.77202691,1.002974964
17.5,0.014695981,172.0897803,83.76708919,1.014719689
17.55,0.014772459,172.8717352,84.20301863,1.019330451
17.6,0.014782719,172.9724715,84.2614956,1.019924438
17.65,0.014828306,175.4257896,84.52134534,1.034390318
17.7,0.014813146,175.5964228,84.43493488,1.035396449
17.75,0.014970048,177.1681525,85.32927564,1.044664083
17.8,0.014988954,177.9532272,85.43703994,1.049293241
17.85,0.015107138,183.6924938,86.11068593,1.08313457
17.9,0.015066163,181.1037015,85.87712648,1.067869872
17.95,0.015068191,180.7325999,85.88868854,1.065681688
18,0.015121043,180.5703363,86.18994761,1.064724908
18.05,0.015049819,181.5276438,85.783968,1.070369629
18.1,0.015282463,183.5019153,87.11003976,1.082010832
18.15,0.015287921,183.5475984,87.14114937,1.0822802
18.2,0.015258274,183.0574182,86.97216166,1.079389875
18.25,0.015256469,183.7632364,86.96187592,1.0835517
18.3,0.015340915,183.965611,87.4432163,1.084744993
18.35,0.015522655,188.9075452,88.47913307,1.113884887
18.4,0.015458372,184.9088588,88.11272207,1.090306811
18.45,0.015321701,181.0450247,87.33369809,1.067523887
18.5,0.015327048,182.4277596,87.36417628,1.075677121
18.55,0.015567568,187.4931712,88.73513676,1.105545094
18.6,0.015617352,185.9266138,89.01890579,1.096307958
18.65,0.0155621,187.7824268,88.70397108,1.107250676
18.7,0.015733592,191.2022869,89.68147574,1.127415729
18.75,0.015769293,189.9463995,89.8849716,1.120010445
18.8,0.015717591,189.863935,89.59026801,1.119524197
18.85,0.015652655,193.5314476,89.22013578,1.141149521
18.9,0.015815051,196.5239232,90.14579337,1.158794519
18.95,0.015880792,195.9592341,90.52051492,1.155464855
19,0.015937031,196.0891539,90.84107625,1.156230921
19.05,0.015930814,195.5507416,90.80563732,1.153056197
19.1,0.01584757,196.4563676,90.3311503,1.158396181
19.15,0.015992432,197.6889414,91.15686263,1.165663997
19.2,0.016097326,201.0289443,91.75475985,1.185358174
19.25,0.016239477,200.6948355,92.56502171,1.183388117
19.3,0.016162984,200.3781864,92.12901012,1.18152101
19.35,0.016175032,203.0122055,92.19768023,1.197052385
19.4,0.016314457,197.8675549,92.99240446,1.166717183
19.45,0.016423293,199.4535469,93.61276996,1.176068914
19.5,0.016499214,198.3151685,94.04552005,1.169356517
19.55,0.016322872,197.9771453,93.04036826,1.167363378
19.6,0.016457934,200.0245498,93.81022398,1.179435807
19.65,0.016384656,199.1094655,93.39253977,1.174040053
19.7,0.016531048,202.0141582,94.22697387,1.191167444
19.75,0.016608894,203.3387781,94.67069782,1.198978006
19.8,0.016685095,202.5107015,95.10504286,1.194095289
19.85,0.016608529,207.457054,94.66861594,1.223261236
19.9,0.016711929,210.387539,95.25799627,1.240540709
19.95,0.01671367,210.9162993,95.26792068,1.243658521
20,0.016775213,210.7098149,95.61871531,1.242440994
20.05,0.01677939,211.4907427,95.64252303,1.2470457
20.1,0.01682148,211.6114385,95.88243574,1.247757378
20.15,0.016779437,210.5134828,95.64279365,1.241283331
20.2,0.016930492,212.8745222,96.50380395,1.255205095
20.25,0.016961888,213.5056572,96.68276078,1.258926554
20.3,0.016967436,213.4086397,96.7143844,1.258354495
20.35,0.017059919,218.1169707,97.24154008,1.286116958
20.4,0.017120263,212.7586957,97.58549942,1.254522129
20.45,0.017097592,212.8248808,97.4562768,1.254912386
20.5,0.017072167,213.0916683,97.31135385,1.256485487
20.55,0.017260592,215.0340821,98.38537229,1.267938843
20.6,0.017279383,215.0915858,98.49248359,1.268277911
20.65,0.017273726,215.7423121,98.46023866,1.272114889
20.7,0.01738369,215.2047136,99.08703426,1.268944964
20.75,0.017359153,216.2345922,98.94717076,1.275017597
20.8,0.017429236,216.8232309,99.34664672,1.278488479
20.85,0.017454722,220.5711821,99.49191269,1.300588105
20.9,0.017497976,220.0766224,99.73846314,1.297671956
20.95,0.017572544,220.3422472,100.1635021,1.299238201
21,0.017591455,221.4046229,100.2712949,1.305502451
21.05,0.017516969,220.9448857,99.84672167,1.302791632
21.1,0.017685613,223.6187462,100.8079943,1.318557931
21.15,0.017822818,224.5180744,101.5900617,1.323860779
21.2,0.017829658,224.6637292,101.6290504,1.324719626
21.25,0.01780596,224.7308251,101.4939719,1.325115254
21.3,0.017930804,225.9771961,102.2055833,1.332464425
21.35,0.017894921,226.3815295,102.0010483,1.334848558
21.4,0.017835565,215.8321457,101.6627202,1.272644589
21.45,0.017910192,217.3099109,102.088092,1.281358165
21.5,0.018012722,217.7571862,102.6725182,1.283995504
21.55,0.01809599,219.5217864,103.1471425,1.29440039
21.6,0.018171373,222.0716269,103.5768239,1.309435411
21.65,0.018206906,222.7303757,103.7793628,1.313319693
21.7,0.018155715,222.6286687,103.4875754,1.312719983
21.75,0.018192825,221.7994101,103.6991042,1.307830296
21.8,0.018044417,221.4894077,102.8531795,1.306002381
21.85,0.018300417,229.5455228,104.3123795,1.353504903
21.9,0.018277017,234.0043798,104.1789992,1.379796354
21.95,0.018335762,233.3271619,104.5138421,1.375803169
22,0.018367795,235.8509001,104.6964311,1.390684279
22.05,0.018401161,236.2612601,104.8866181,1.393103948
22.1,0.018450573,236.6750887,105.1682638,1.39554407
22.15,0.018462344,238.285129,105.2353601,1.4050376
22.2,0.018559518,239.6265691,105.7892545,1.412947342
22.25,0.018583377,239.0130084,105.9252463,1.409329508
22.3,0.018467911,240.0814107,105.2670935,1.415629295
22.35,0.018664919,245.215324,106.3900398,1.445901185
22.4,0.018665333,240.9153659,106.3923974,1.420546674
22.45,0.018620958,242.1031568,106.1394601,1.42755043
22.5,0.01877505,243.5975678,107.0177874,1.436362158
22.55,0.018877233,243.2039294,107.6002288,1.434041087
22.6,0.018945693,242.5649252,107.9904527,1.430273227
22.65,0.018825181,244.8123895,107.3035316,1.4435253
22.7,0.019024208,247.4031566,108.4379884,1.458801642
22.75,0.018919365,246.6455389,107.8403778,1.454334383
22.8,0.019140326,249.9834102,109.0998583,1.474015992
22.85,0.019150543,251.9131508,109.1580976,1.485394621
22.9,0.019245187,243.8053137,109.6975636,1.437587122
22.95,0.019136069,241.7880598,109.075591,1.425692475
23,0.019246693,242.4151448,109.7061506,1.429390053
23.05,0.019195376,241.5973774,109.4136436,1.424568125
23.1,0.019373897,244.2359116,110.4312105,1.440126123
23.15,0.019440562,245.5870988,110.811202,1.448093339
23.2,0.019348731,242.4638191,110.2877661,1.42967706
